CustomerID,Cluster
C0001,2
C0002,2
C0003,2
C0004,0
C0005,1
C0006,2
C0007,2
C0008,0
C0009,1
C0010,2
C0011,3
C0012,3
C0013,0
C0014,1
C0015,1
C0016,3
C0017,0
C0018,3
C0019,2
C0020,1
C0021,0
C0022,3
C0023,3
C0024,3
C0025,2
C0026,2
C0027,2
C0028,0
C0029,2
C0030,2
C0031,2
C0032,1
C0033,1
C0034,3
C0035,2
C0036,1
C0037,3
C0038,2
C0039,3
C0040,2
C0041,0
C0042,2
C0043,1
C0044,2
C0045,0
C0046,0
C0047,3
C0048,3
C0049,3
C0050,2
C0051,0
C0052,2
C0053,3
C0054,0
C0055,2
C0056,2
C0057,3
C0058,1
C0059,0
C0060,1
C0061,2
C0062,1
C0063,1
C0064,3
C0065,0
C0066,2
C0067,3
C0068,0
C0069,2
C0070,2
C0071,1
C0072,2
C0073,1
C0074,2
C0075,0
C0076,2
C0077,1
C0078,1
C0079,2
C0080,1
C0081,3
C0082,0
C0083,1
C0084,0
C0085,2
C0086,2
C0087,0
C0088,2
C0089,1
C0090,3
C0091,3
C0092,2
C0093,0
C0094,2
C0095,1
C0096,3
C0097,1
C0098,3
C0099,0
C0100,3
C0101,0
C0102,0
C0103,2
C0104,0
C0105,3
C0106,2
C0107,3
C0108,3
C0109,0
C0110,1
C0111,2
C0112,1
C0113,0
C0114,3
C0115,2
C0116,3
C0117,2
C0118,3
C0119,2
C0120,2
C0121,2
C0122,3
C0123,1
C0124,3
C0125,2
C0126,3
C0127,3
C0128,1
C0129,2
C0130,1
C0131,1
C0132,1
C0133,2
C0134,2
C0135,2
C0136,3
C0137,2
C0138,3
C0139,3
C0140,1
C0141,0
C0142,2
C0143,0
C0144,1
C0145,0
C0146,2
C0147,0
C0148,3
C0149,3
C0150,1
C0151,1
C0152,2
C0153,3
C0154,3
C0155,0
C0156,0
C0157,2
C0158,2
C0159,1
C0160,2
C0161,3
C0162,0
C0163,3
C0164,2
C0165,0
C0166,2
C0167,2
C0168,3
C0169,3
C0170,3
C0171,3
C0172,2
C0173,0
C0174,2
C0175,0
C0176,2
C0177,2
C0178,2
C0179,3
C0180,1
C0181,3
C0182,3
C0183,3
C0184,3
C0185,2
C0186,1
C0187,3
C0188,0
C0189,2
C0190,2
C0191,2
C0192,2
C0193,2
C0194,3
C0195,3
C0196,3
C0197,1
C0198,1
C0199,2
C0200,3
